,año,trimestre,provincia_id,provincia,total
0,2017,1,1,CIUDAD AUTONOMA DE BS AS,37145
1,2017,1,6,BUENOS AIRES,9113
440,2017,1,82,SANTA FE,1441
869,2017,1,14,CORDOBA,1198
1304,2017,1,66,SALTA,770
1712,2017,1,50,MENDOZA,749
2139,2017,1,26,CHUBUT,664
2552,2017,1,54,MISIONES,521
2952,2017,1,18,CORRIENTES,471
3360,2017,1,58,NEUQUEN,378
3775,2017,1,62,RIO NEGRO,373
4187,2017,1,94,TIERRA DEL FUEGO,319
4559,2017,1,30,ENTRE RIOS,260
4976,2017,1,34,FORMOSA,249
5312,2017,1,70,SAN JUAN,202
5707,2017,1,90,TUCUMAN,196
6110,2017,1,38,JUJUY,190
6489,2017,1,46,LA RIOJA,176
6834,2017,1,78,SANTA CRUZ,158
7224,2017,1,74,SAN LUIS,102
7622,2017,1,42,LA PAMPA,87
7998,2017,2,1,CIUDAD AUTONOMA DE BS AS,34320
7999,2017,2,6,BUENOS AIRES,9419
8438,2017,2,14,CORDOBA,2030
8873,2017,2,82,SANTA FE,1371
9302,2017,2,58,NEUQUEN,1069
9717,2017,2,50,MENDOZA,927
10144,2017,2,26,CHUBUT,809
10557,2017,2,54,MISIONES,632
10957,2017,2,62,RIO NEGRO,540
11369,2017,2,38,JUJUY,515
11748,2017,2,18,CORRIENTES,336
12156,2017,2,46,LA RIOJA,301
12501,2017,2,78,SANTA CRUZ,295
12891,2017,2,70,SAN JUAN,287
13286,2017,2,90,TUCUMAN,266
13689,2017,2,66,SALTA,220
14097,2017,2,94,TIERRA DEL FUEGO,212
14469,2017,2,30,ENTRE RIOS,173
14886,2017,2,34,FORMOSA,144
15222,2017,2,74,SAN LUIS,104
15620,2017,2,42,LA PAMPA,99
15996,2017,3,1,CIUDAD AUTONOMA DE BS AS,42974
15997,2017,3,6,BUENOS AIRES,10291
16436,2017,3,14,CORDOBA,1752
16871,2017,3,26,CHUBUT,1063
17284,2017,3,54,MISIONES,929
17684,2017,3,82,SANTA FE,873
18113,2017,3,38,JUJUY,759
18492,2017,3,50,MENDOZA,712
18919,2017,3,58,NEUQUEN,711
19334,2017,3,66,SALTA,674
19742,2017,3,62,RIO NEGRO,469
20154,2017,3,46,LA RIOJA,459
20499,2017,3,70,SAN JUAN,383
20894,2017,3,18,CORRIENTES,379
21302,2017,3,90,TUCUMAN,276
21705,2017,3,30,ENTRE RIOS,248
22122,2017,3,94,TIERRA DEL FUEGO,241
22494,2017,3,34,FORMOSA,221
22830,2017,3,78,SANTA CRUZ,198
23220,2017,3,74,SAN LUIS,134
23618,2017,3,42,LA PAMPA,106
23994,2017,4,1,CIUDAD AUTONOMA DE BS AS,36838
23995,2017,4,6,BUENOS AIRES,12217
24434,2017,4,14,CORDOBA,2046
24869,2017,4,50,MENDOZA,1520
25296,2017,4,82,SANTA FE,1133
25725,2017,4,54,MISIONES,851
26125,2017,4,66,SALTA,768
26533,2017,4,26,CHUBUT,697
26946,2017,4,18,CORRIENTES,654
27354,2017,4,58,NEUQUEN,635
27769,2017,4,38,JUJUY,613
28148,2017,4,94,TIERRA DEL FUEGO,590
28520,2017,4,30,ENTRE RIOS,499
28937,2017,4,62,RIO NEGRO,341
29349,2017,4,46,LA RIOJA,330
29694,2017,4,70,SAN JUAN,292
30089,2017,4,90,TUCUMAN,275
30492,2017,4,34,FORMOSA,250
30828,2017,4,78,SANTA CRUZ,157
31218,2017,4,74,SAN LUIS,149
31616,2017,4,42,LA PAMPA,106
