"sector_id","sector_nombre","variable_id","actividad_producto_nombre","indicador","unidad_de_medida","fuente","frecuencia_nombre","cobertura_nombre","alcance_tipo","alcance_id","alcance_nombre","indice_tiempo","valor"
99,"Indicadores Provinciales",980,"Mortalidad General","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",2014-01-01,7.6293136783885
99,"Indicadores Provinciales",980,"Mortalidad General","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",2015-01-01,7.7299281929324
99,"Indicadores Provinciales",980,"Mortalidad General","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",2016-01-01,8.0979357641578
99,"Indicadores Provinciales",980,"Mortalidad General","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",2017-01-01,7.7577356388247
99,"Indicadores Provinciales",980,"Mortalidad General","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",2018-01-01,7.5699914564725
99,"Indicadores Provinciales",980,"Mortalidad General","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",2019-01-01,7.6043122909264
99,"Indicadores Provinciales",980,"Mortalidad General","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",2020-01-01,8.2910056850023
99,"Indicadores Provinciales",980,"Mortalidad General","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",2021-01-01,9.5352749988992
99,"Indicadores Provinciales",982,"Mortalidad Infantil","Tasa","por 1.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",1980-01-01,33.2
99,"Indicadores Provinciales",982,"Mortalidad Infantil","Tasa","por 1.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",1981-01-01,33.6
99,"Indicadores Provinciales",982,"Mortalidad Infantil","Tasa","por 1.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",1982-01-01,30.5
99,"Indicadores Provinciales",982,"Mortalidad Infantil","Tasa","por 1.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",1983-01-01,29.7
99,"Indicadores Provinciales",982,"Mortalidad Infantil","Tasa","por 1.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",1984-01-01,30.4
99,"Indicadores Provinciales",982,"Mortalidad Infantil","Tasa","por 1.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",1985-01-01,26.2
99,"Indicadores Provinciales",982,"Mortalidad Infantil","Tasa","por 1.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",1986-01-01,26.9
99,"Indicadores Provinciales",982,"Mortalidad Infantil","Tasa","por 1.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",1987-01-01,26.6
99,"Indicadores Provinciales",982,"Mortalidad Infantil","Tasa","por 1.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",1988-01-01,25.8
99,"Indicadores Provinciales",982,"Mortalidad Infantil","Tasa","por 1.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",1989-01-01,25.7
99,"Indicadores Provinciales",982,"Mortalidad Infantil","Tasa","por 1.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",1990-01-01,25.6
99,"Indicadores Provinciales",982,"Mortalidad Infantil","Tasa","por 1.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",1991-01-01,24.7
99,"Indicadores Provinciales",982,"Mortalidad Infantil","Tasa","por 1.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",1992-01-01,23.9
99,"Indicadores Provinciales",982,"Mortalidad Infantil","Tasa","por 1.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",1993-01-01,22.9
99,"Indicadores Provinciales",982,"Mortalidad Infantil","Tasa","por 1.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",1994-01-01,22
99,"Indicadores Provinciales",982,"Mortalidad Infantil","Tasa","por 1.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",1995-01-01,22.2
99,"Indicadores Provinciales",982,"Mortalidad Infantil","Tasa","por 1.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",1996-01-01,20.9
99,"Indicadores Provinciales",982,"Mortalidad Infantil","Tasa","por 1.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",1997-01-01,18.8
99,"Indicadores Provinciales",982,"Mortalidad Infantil","Tasa","por 1.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",1998-01-01,19.1
99,"Indicadores Provinciales",982,"Mortalidad Infantil","Tasa","por 1.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",1999-01-01,17.6
99,"Indicadores Provinciales",982,"Mortalidad Infantil","Tasa","por 1.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",2000-01-01,16.6
99,"Indicadores Provinciales",982,"Mortalidad Infantil","Tasa","por 1.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",2001-01-01,16.3
99,"Indicadores Provinciales",982,"Mortalidad Infantil","Tasa","por 1.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",2002-01-01,16.8
99,"Indicadores Provinciales",982,"Mortalidad Infantil","Tasa","por 1.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",2003-01-01,16.5
99,"Indicadores Provinciales",982,"Mortalidad Infantil","Tasa","por 1.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",2004-01-01,14.4
99,"Indicadores Provinciales",982,"Mortalidad Infantil","Tasa","por 1.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",2005-01-01,13.3
99,"Indicadores Provinciales",982,"Mortalidad Infantil","Tasa","por 1.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",2006-01-01,12.9
99,"Indicadores Provinciales",982,"Mortalidad Infantil","Tasa","por 1.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",2007-01-01,13.3
99,"Indicadores Provinciales",982,"Mortalidad Infantil","Tasa","por 1.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",2008-01-01,12.5
99,"Indicadores Provinciales",982,"Mortalidad Infantil","Tasa","por 1.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",2009-01-01,12.1
99,"Indicadores Provinciales",982,"Mortalidad Infantil","Tasa","por 1.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",2010-01-01,11.850415776221
99,"Indicadores Provinciales",982,"Mortalidad Infantil","Tasa","por 1.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",2011-01-01,11.711752119276
99,"Indicadores Provinciales",982,"Mortalidad Infantil","Tasa","por 1.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",2012-01-01,11.142895066895
99,"Indicadores Provinciales",982,"Mortalidad Infantil","Tasa","por 1.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",2013-01-01,10.83218593088
99,"Indicadores Provinciales",982,"Mortalidad Infantil","Tasa","por 1.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",2014-01-01,10.555821531714
99,"Indicadores Provinciales",982,"Mortalidad Infantil","Tasa","por 1.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",2015-01-01,9.6683289179783
99,"Indicadores Provinciales",982,"Mortalidad Infantil","Tasa","por 1.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",2016-01-01,9.7426634708496
99,"Indicadores Provinciales",982,"Mortalidad Infantil","Tasa","por 1.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",2017-01-01,9.3370933382912
99,"Indicadores Provinciales",982,"Mortalidad Infantil","Tasa","por 1.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",2018-01-01,8.8241216001307
99,"Indicadores Provinciales",982,"Mortalidad Infantil","Tasa","por 1.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",2019-01-01,9.1855186980067
99,"Indicadores Provinciales",982,"Mortalidad Infantil","Tasa","por 1.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",2020-01-01,8.4474188025854
99,"Indicadores Provinciales",982,"Mortalidad Infantil","Tasa","por 1.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",2021-01-01,7.9993355908145
99,"Indicadores Provinciales",984,"Mortalidad Materna","Tasa","por 10.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",1980-01-01,7
99,"Indicadores Provinciales",984,"Mortalidad Materna","Tasa","por 10.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",1981-01-01,7
99,"Indicadores Provinciales",984,"Mortalidad Materna","Tasa","por 10.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",1982-01-01,7
99,"Indicadores Provinciales",984,"Mortalidad Materna","Tasa","por 10.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",1983-01-01,6
99,"Indicadores Provinciales",984,"Mortalidad Materna","Tasa","por 10.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",1984-01-01,6.1
99,"Indicadores Provinciales",984,"Mortalidad Materna","Tasa","por 10.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",1985-01-01,5.9
99,"Indicadores Provinciales",984,"Mortalidad Materna","Tasa","por 10.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",1986-01-01,5.5
99,"Indicadores Provinciales",984,"Mortalidad Materna","Tasa","por 10.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",1987-01-01,4.9
99,"Indicadores Provinciales",984,"Mortalidad Materna","Tasa","por 10.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",1988-01-01,4.8
99,"Indicadores Provinciales",984,"Mortalidad Materna","Tasa","por 10.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",1989-01-01,5.2
99,"Indicadores Provinciales",984,"Mortalidad Materna","Tasa","por 10.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",1990-01-01,5.2
99,"Indicadores Provinciales",984,"Mortalidad Materna","Tasa","por 10.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",1991-01-01,4.8
99,"Indicadores Provinciales",984,"Mortalidad Materna","Tasa","por 10.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",1992-01-01,4.8
99,"Indicadores Provinciales",984,"Mortalidad Materna","Tasa","por 10.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",1993-01-01,4.6
99,"Indicadores Provinciales",984,"Mortalidad Materna","Tasa","por 10.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",1994-01-01,3.9
99,"Indicadores Provinciales",984,"Mortalidad Materna","Tasa","por 10.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",1995-01-01,4.4
99,"Indicadores Provinciales",984,"Mortalidad Materna","Tasa","por 10.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",1996-01-01,4.7
99,"Indicadores Provinciales",984,"Mortalidad Materna","Tasa","por 10.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",1997-01-01,3.8
99,"Indicadores Provinciales",984,"Mortalidad Materna","Tasa","por 10.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",1998-01-01,3.8
99,"Indicadores Provinciales",984,"Mortalidad Materna","Tasa","por 10.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",1999-01-01,4.1
99,"Indicadores Provinciales",984,"Mortalidad Materna","Tasa","por 10.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",2000-01-01,3.5
99,"Indicadores Provinciales",984,"Mortalidad Materna","Tasa","por 10.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",2001-01-01,4.3
99,"Indicadores Provinciales",984,"Mortalidad Materna","Tasa","por 10.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",2002-01-01,4.6
99,"Indicadores Provinciales",984,"Mortalidad Materna","Tasa","por 10.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",2003-01-01,4.4
99,"Indicadores Provinciales",984,"Mortalidad Materna","Tasa","por 10.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",2004-01-01,4
99,"Indicadores Provinciales",984,"Mortalidad Materna","Tasa","por 10.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",2005-01-01,3.9
99,"Indicadores Provinciales",984,"Mortalidad Materna","Tasa","por 10.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",2006-01-01,4.8
99,"Indicadores Provinciales",984,"Mortalidad Materna","Tasa","por 10.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",2007-01-01,4.4
99,"Indicadores Provinciales",984,"Mortalidad Materna","Tasa","por 10.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",2008-01-01,4
