PROVINCIA,TRANSITORIAS,TEMPORARIAS,PERMANENTES,TOTAL
CIUDAD AUTONOMA DE BS AS,2531,13081,8860,24472
BUENOS AIRES,309,5502,4218,10029
CORDOBA,518,764,276,1558
MENDOZA,236,569,337,1142
NEUQUEN,61,649,329,1039
SANTA FE,220,405,269,894
SALTA,34,296,226,556
MISIONES,0,265,246,511
CHUBUT,31,196,214,441
CORRIENTES,55,203,179,437
ENTRE RIOS,31,203,157,391
JUJUY,20,158,187,365
TUCUMAN,58,178,60,296
RIO NEGRO,38,106,127,271
SAN JUAN,29,132,55,216
TIERRA DEL FUEGO,16,78,96,190
LA RIOJA,8,77,87,172
FORMOSA,2,92,69,163
LA PAMPA,14,87,51,152
SANTA CRUZ,8,51,55,114
SAN LUIS,7,65,39,111
