AÑO,TRIMESTRE,PROVINCIA,TOTAL
2017,2,CIUDAD AUTONOMA DE BS AS,34320
2017,2,BUENOS AIRES,9419
2017,2,CORDOBA,2030
2017,2,SANTA FE,1371
2017,2,NEUQUEN,1069
2017,2,MENDOZA,927
2017,2,CHUBUT,809
2017,2,MISIONES,632
2017,2,RIO NEGRO,540
2017,2,JUJUY,515
2017,2,CORRIENTES,336
2017,2,LA RIOJA,301
2017,2,SANTA CRUZ,295
2017,2,SAN JUAN,287
2017,2,TUCUMAN,266
2017,2,SALTA,220
2017,2,TIERRA DEL FUEGO,212
2017,2,ENTRE RIOS,173
2017,2,FORMOSA,144
2017,2,SAN LUIS,104
2017,2,LA PAMPA,99
