AÑO,TRIMESTRE,PROVINCIA,TOTAL
2017,3,CIUDAD AUTONOMA DE BS AS,42974
2017,3,BUENOS AIRES,10291
2017,3,CORDOBA,1752
2017,3,CHUBUT,1063
2017,3,MISIONES,929
2017,3,SANTA FE,873
2017,3,JUJUY,759
2017,3,MENDOZA,712
2017,3,NEUQUEN,711
2017,3,SALTA,674
2017,3,RIO NEGRO,469
2017,3,LA RIOJA,459
2017,3,SAN JUAN,383
2017,3,CORRIENTES,379
2017,3,TUCUMAN,276
2017,3,ENTRE RIOS,248
2017,3,TIERRA DEL FUEGO,241
2017,3,FORMOSA,221
2017,3,SANTA CRUZ,198
2017,3,SAN LUIS,134
2017,3,LA PAMPA,106
