AÑO,TRIMESTRE,PROVINCIA,TOTAL
2017,1,CIUDAD AUTONOMA DE BS AS,37145
2017,1,BUENOS AIRES,9113
2017,1,SANTA FE,1441
2017,1,CORDOBA,1198
2017,1,SALTA,770
2017,1,MENDOZA,749
2017,1,CHUBUT,664
2017,1,MISIONES,521
2017,1,CORRIENTES,471
2017,1,NEUQUEN,378
2017,1,RIO NEGRO,373
2017,1,TIERRA DEL FUEGO,319
2017,1,ENTRE RIOS,260
2017,1,FORMOSA,249
2017,1,SAN JUAN,202
2017,1,TUCUMAN,196
2017,1,JUJUY,190
2017,1,LA RIOJA,176
2017,1,SANTA CRUZ,158
2017,1,SAN LUIS,102
2017,1,LA PAMPA,87
