AÑO,TRIMESTRE,PROVINCIA,TOTAL
2019,1,CIUDAD AUTONOMA DE BS AS,24215
2019,1,BUENOS AIRES,11822
2019,1,CORDOBA,1896
2019,1,MENDOZA,1258
2019,1,SANTA FE,1004
2019,1,NEUQUEN,696
2019,1,MISIONES,581
2019,1,CHUBUT,572
2019,1,TIERRA DEL FUEGO,452
2019,1,CORRIENTES,360
2019,1,JUJUY,352
2019,1,RIO NEGRO,308
2019,1,SAN LUIS,266
2019,1,ENTRE RIOS,256
2019,1,SALTA,188
2019,1,SAN JUAN,172
2019,1,LA RIOJA,166
2019,1,SANTA CRUZ,141
2019,1,TUCUMAN,120
2019,1,FORMOSA,76
2019,1,LA PAMPA,62
